x_m,r_m,pressure_pa,pressure_over_pc,cf_t,yplus
0.1169686,0.0532906,51912.25,0.009983125,28.5091706330767,0.01661895
0.1171986,0.05333469,51912.46,0.009983165384615385,28.511668741359287,0.0166197
0.1174287,0.05337868,51912.67,0.00998320576923077,28.51422132935665,0.01662046
0.1176587,0.05342256,51912.89,0.009983248076923077,28.516760198277552,0.01662122
0.1178888,0.05346633,51913.1,0.009983288461538462,28.519269290323482,0.01662197
0.1181188,0.05351,51913.31,0.009983328846153846,28.52174467778602,0.01662271
0.1183488,0.05355357,51913.52,0.00998336923076923,28.52417230592431,0.01662344
0.1185789,0.05359703,51913.74,0.009983411538461539,28.52662905619633,0.01662417
0.1188089,0.05364038,51913.96,0.009983453846153846,28.529104183007334,0.01662491
0.119039,0.05368364,51914.17,0.00998349423076923,28.53158165430846,0.01662565
0.119269,0.05372678,51914.39,0.009983536538461539,28.534034251199365,0.01662639
0.119499,0.05376983,51914.61,0.009983578846153847,28.536442575767545,0.01662711
0.1197291,0.05381277,51914.83,0.009983621153846154,28.538813568667667,0.01662782
0.1199591,0.05385561,51915.05,0.009983663461538462,28.54121086894788,0.01662853
0.1201892,0.05389834,51915.27,0.009983705769230768,28.54363271700337,0.01662926
0.1204192,0.05394097,51915.5,0.00998375,28.546057488691787,0.01662998
0.1206492,0.0539835,51915.73,0.00998379423076923,28.54845014242405,0.0166307
0.1208793,0.05402592,51915.96,0.009983838461538462,28.550804463242,0.01663141
0.1211093,0.05406824,51916.19,0.009983882692307693,28.55313776357702,0.0166321
0.1213394,0.05411046,51916.42,0.009983926923076923,28.555461559752526,0.0166328
0.1215694,0.05415258,51916.66,0.009983973076923077,28.557779699735132,0.01663349
0.1217994,0.0541946,51916.9,0.00998401923076923,28.56006710860005,0.01663418
0.1220295,0.05423652,51917.15,0.009984067307692308,28.56233870102907,0.01663486
0.1222595,0.05427833,51917.41,0.009984117307692308,28.56463934878546,0.01663554
0.1224896,0.05432005,51917.68,0.009984169230769231,28.566895323519418,0.01663622
0.1227196,0.05436166,51917.95,0.009984221153846153,28.569122724833957,0.01663689
0.1229496,0.05440317,51918.24,0.009984276923076922,28.57133650215181,0.01663755
0.1231797,0.05444458,51918.54,0.009984334615384616,28.57351836706745,0.01663821
0.1234097,0.05448588,51918.85,0.00998439423076923,28.575601542190142,0.01663884
0.1236398,0.05452709,51919.19,0.009984459615384616,28.57754585555761,0.01663942
0.1238698,0.0545682,51919.56,0.00998453076923077,28.579254350655834,0.01663994
0.1240998,0.05460921,51919.98,0.009984611538461538,28.580692344648497,0.01664037
0.1243299,0.05465013,51920.47,0.00998470576923077,28.5813593699436,0.01664059
0.1245599,0.05469094,51921.09,0.009984825,28.577726338718122,0.01663956
0.12479,0.05473165,51922.12,0.009985023076923078,28.526588568352057,0.01662471
0.12502,0.05477226,51926.9,0.009985942307692309,27.674525959756,0.01637484
