x,r,cf_t,pressure_pa,yplus
0.2338202,0.2025568,2.028396,98236.3,0.1423421
0.2356952,0.2025568,2.028817,98237.37,0.1423574
0.2375702,0.2025568,2.029065,98238.0,0.1423665
0.2394452,0.2025568,2.029202,98238.33,0.1423715
0.2413202,0.2025568,2.029267,98238.48,0.1423738
0.2431952,0.2025568,2.029294,98238.54,0.1423748
0.2450702,0.2025568,2.029305,98238.56,0.1423752
0.2469452,0.2025568,2.02931,98238.58,0.1423754
0.2488202,0.2025568,2.029313,98238.59,0.1423755
0.2506952,0.2025568,2.029314,98238.59,0.1423756
0.2525702,0.2025568,2.029315,98238.59,0.1423756
0.2544452,0.2025568,2.029315,98238.59,0.1423756
0.2563202,0.2025568,2.029315,98238.59,0.1423756
0.2581952,0.2025568,2.029315,98238.59,0.1423756
0.2600702,0.2025568,2.029315,98238.59,0.1423756
0.2619452,0.2025568,2.029316,98238.59,0.1423756
0.2638202,0.2025568,2.029316,98238.59,0.1423756
0.2656952,0.2025568,2.029316,98238.59,0.1423756
0.2675702,0.2025568,2.029316,98238.59,0.1423756
0.2694452,0.2025568,2.029316,98238.59,0.1423756
0.2713202,0.2025568,2.029316,98238.59,0.1423756
0.2731952,0.2025568,2.029316,98238.59,0.1423756
0.2750702,0.2025568,2.029316,98238.59,0.1423756
0.2769452,0.2025568,2.029316,98238.59,0.1423756
0.2788202,0.2025568,2.029316,98238.59,0.1423756
0.2806952,0.2025568,2.029316,98238.59,0.1423756
0.2825702,0.2025568,2.029316,98238.59,0.1423756
0.2844452,0.2025568,2.029316,98238.59,0.1423756
0.2863202,0.2025568,2.029316,98238.59,0.1423756
0.2881952,0.2025568,2.029316,98238.59,0.1423756
0.2900702,0.2025568,2.029316,98238.59,0.1423756
0.2919452,0.2025568,2.029316,98238.59,0.1423756
0.2938202,0.2025568,2.029316,98238.59,0.1423756
0.2956952,0.2025568,2.029316,98238.59,0.1423756
0.2975702,0.2025568,2.029316,98238.59,0.1423756
0.2994452,0.2025568,2.029316,98238.59,0.1423756
0.3013202,0.2025568,2.029316,98238.59,0.1423756
0.3031952,0.2025568,2.029316,98238.59,0.1423756
0.3050702,0.2025568,2.029316,98238.59,0.1423756
0.3069452,0.2025568,2.029316,98238.59,0.1423756
0.3088202,0.2025568,2.029316,98238.59,0.1423756
0.3106952,0.2025568,2.029316,98238.59,0.1423756
0.3125702,0.2025568,2.029316,98238.59,0.1423756
0.3144452,0.2025568,2.029316,98238.59,0.1423756
0.3163202,0.2025568,2.029316,98238.59,0.1423756
0.3181952,0.2025568,2.029316,98238.59,0.1423756
0.3200702,0.2025568,2.029316,98238.59,0.1423756
0.3219452,0.2025568,2.029316,98238.59,0.1423756
0.3238202,0.2025568,2.029316,98238.59,0.1423756
0.3256952,0.2025568,2.029316,98238.59,0.1423756
0.3275702,0.2025568,2.029316,98238.59,0.1423756
0.3294452,0.2025568,2.029316,98238.59,0.1423756
0.3313202,0.2025568,2.029316,98238.59,0.1423756
0.3331952,0.2025568,2.029316,98238.59,0.1423756
0.3350702,0.2025568,2.029316,98238.59,0.1423756
0.3369452,0.2025568,2.029316,98238.59,0.1423756
0.3388202,0.2025568,2.029316,98238.59,0.1423756
0.3406952,0.2025568,2.029316,98238.59,0.1423756
0.3425702,0.2025568,2.029316,98238.59,0.1423756
0.3444452,0.2025568,2.029316,98238.59,0.1423756
0.3463202,0.2025568,2.029316,98238.59,0.1423756
0.3481952,0.2025568,2.029316,98238.59,0.1423756
