"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde"
852, 9.314204689957482e-02, 4.810881729827202e-02, 3.584626068879759e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.077544723104443e+05, 0.000000000000000e+00
853, 9.288485099614616e-02, 4.804572768465505e-02, 3.594432918906881e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.080473337255129e+05, 0.000000000000000e+00
854, 9.262768557569082e-02, 4.798247979970417e-02, 3.604302796254961e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.083417604367300e+05, 0.000000000000000e+00
855, 9.237056543982054e-02, 4.791907639302624e-02, 3.614237390720516e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.086377881443176e+05, 0.000000000000000e+00
856, 9.211348480030289e-02, 4.785551630430684e-02, 3.624240750248581e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.089355267707706e+05, 0.000000000000000e+00
857, 9.185644389672069e-02, 4.779179895328586e-02, 3.634314329606474e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.092350152417122e+05, 0.000000000000000e+00
858, 9.159946220038495e-02, 4.772792898055411e-02, 3.644454563806254e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.095361715710304e+05, 0.000000000000000e+00
859, 9.134249808793532e-02, 4.766389753113767e-02, 3.654663462898401e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.098389947658132e+05, 0.000000000000000e+00
860, 9.108557363579411e-02, 4.759971013476189e-02, 3.664939944429766e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.101434638622055e+05, 0.000000000000000e+00
861, 9.082868929359877e-02, 4.753536589186340e-02, 3.675284415729332e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.104495538578592e+05, 0.000000000000000e+00
862, 9.057184945311655e-02, 4.747086505086386e-02, 3.685697778974625e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.107572922025015e+05, 0.000000000000000e+00
863, 9.031504480887700e-02, 4.740620514698889e-02, 3.696181779631303e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.110667617269234e+05, 0.000000000000000e+00
864, 9.005827976512761e-02, 4.734138800257376e-02, 3.706737072004089e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.113779521670153e+05, 0.000000000000000e+00
865, 8.980155407107286e-02, 4.727641451915236e-02, 3.717362443837472e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.116907748952601e+05, 0.000000000000000e+00
866, 8.954486411674525e-02, 4.721127974462064e-02, 3.728057198566113e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.120051796775709e+05, 0.000000000000000e+00
867, 8.928822449960878e-02, 4.714598269911853e-02, 3.738824416789283e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.123212695857993e+05, 0.000000000000000e+00
868, 8.903162283690808e-02, 4.708052211766548e-02, 3.749672183050540e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.126393538064305e+05, 0.000000000000000e+00
869, 8.877506547217882e-02, 4.701490501756025e-02, 3.760597300576724e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.129592783156104e+05, 0.000000000000000e+00
870, 8.851854481631106e-02, 4.694913001245159e-02, 3.771595967261299e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.132808739098318e+05, 0.000000000000000e+00
871, 8.826206580205843e-02, 4.688319492511009e-02, 3.782668255984350e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.136041301821850e+05, 0.000000000000000e+00
872, 8.800562697201515e-02, 4.681709744883956e-02, 3.793816627997856e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.139291275481935e+05, 0.000000000000000e+00
873, 8.774923078698764e-02, 4.675083839594722e-02, 3.805041867716618e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.142558604828205e+05, 0.000000000000000e+00
874, 8.749287761295724e-02, 4.668441632344632e-02, 3.816344297247714e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.145843216460116e+05, 0.000000000000000e+00
